Timestamp,What is your major?,What year are you in?,How often do you exercise in a week?,Do you feel that regular exercise impacts your academic performance? How much on scale from 1 to 5 ? If five is the best and 0 is doesn't affect me at all?,Email Address,What is your gender?
3/4/2024 20:10:00,Computer Science,Year 2,4,3,,Male
3/6/2024 18:20:03,Management ,Year 2,1,4,,Female
3/8/2024 12:59:59,Computer Science,Year 1,4,5,,Male
3/8/2024 13:07:39,Computer Science,Year 2,5,4,,Male
3/9/2024 12:53:17,Engineering,Year 3,1,1,,Male
3/9/2024 12:55:26,Computer Science,Year 2,4,5,,Female
3/9/2024 12:58:44,Computer Science,Year 2,3,4,,Male
3/9/2024 13:00:25,Digital Arts,Year 3,5,4,,Female
3/9/2024 13:01:08,Computer Science,Year 3,6,5,,Female
3/9/2024 13:02:36,Engineering,Year 3,2,0,,Male
3/9/2024 13:06:34,Computer Science,Year 1,3,0,,Male
3/9/2024 13:07:08,Digital Arts,Year 1,1,4,,Female
3/9/2024 13:08:46,Computer Science,Year 2,5,3,,Male
3/9/2024 13:09:37,Computer Science,Year 2,0,0,,Female
3/9/2024 13:40:48,Computer Science,Year 2,5,3,,Female
3/9/2024 13:45:35,Computer Science,Year 2,3,5,,Male
3/9/2024 13:46:15,Computer Science,Year 2,6,2,,Male
3/9/2024 13:47:04,Computer Science,Year 2,4,4,,Male
3/9/2024 13:51:32,Computer Science,Year 2,4,1,,Male
3/9/2024 14:28:41,Computer Science,Year 2,0,0,,Male
3/9/2024 14:32:05,Computer Science ,Year 2,3,5,,Male
3/9/2024 14:50:39,Computer Science,Year 2,5,3,,Male
3/9/2024 14:52:15,Engineering,Year 2,3,0,,Female
3/9/2024 15:05:07,Computer Science,Year 2,5,5,,Male
3/9/2024 15:11:09,Computer Science,Year 2,2,4,,Male
3/9/2024 15:16:41,Computer Science,Year 2,5,5,,Male
3/9/2024 15:18:05,Computer Science,Year 2,2,1,,Male
3/9/2024 15:29:06, Computer Science,Year 2,4,5,,Male
3/9/2024 15:32:27,Computer Science,Year 2,2,4,,Female
3/9/2024 17:15:36,Computer Science,Year 2,5,4,,Male
3/9/2024 17:16:23,Computer Science,Year 2,3,5,,Male
